Date,AUSTRALIA,BRUNEI DARUSSALAM,CANADA,CHINA,CHINESE TAIPEI,FRANCE,GERMANY,INDIA,INDONESIA,JAPAN,NETHERLANDS,SAUDI ARABIA,SINGAPORE,SOUTH KOREA,SWEDEN,THAILAND,UNITED STATES,UNITED KINGDOM,VIETNAM,OTHERS,OVERALL
2018-03-31,89271,356696,25353,773732,95729,35697,38112,133015,789550,104051,18686,21932,2667468,167060,13345,473880,65793,95452,78921,476475,6520218
2018-06-30,77844,355850,19025,691179,95768,31861,26615,174740,825660,82003,17796,20872,2527758,124969,5555,477170,62558,82876,105975,404076,6210150
2018-09-30,90895,343177,18965,818241,119643,45636,33650,129981,823736,112798,28586,51284,2634891,170975,5426,475635,63446,100271,119128,469383,6655747
2018-12-31,93490,326308,21362,660981,72782,26214,30518,162575,838743,95688,16583,18175,2785869,153779,8339,488007,61587,82736,71554,430949,6446239
2019-03-31,89399,319024,25934,841800,95800,35384,39221,157690,924916,104049,17486,17438,2626125,186827,10999,489351,68812,92789,84136,469047,6696227
2019-06-30,88224,308088,20637,716982,90397,32333,29871,196796,932948,92512,17495,32760,2755441,137125,5443,501214,67306,86162,116178,430431,6658343
2019-09-30,94178,302677,20602,855174,118076,47206,34991,184681,934912,124722,30132,54293,2487189,184128,5400,451659,69384,97631,123079,534512,6754626
2019-12-31,96470,286334,20395,700301,78643,26738,26138,196142,830501,103411,16997,16953,2295127,164985,7750,442082,64426,69903,76953,471332,5991581
2020-03-31,72047,135412,16405,401067,59750,28017,27210,153727,701142,73154,14264,23240,1541591,118571,9215,331417,48208,62947,63367,352704,4233455
2020-06-30,56,181,22,218,13,24,15,146,940,47,67,6,229,23,2,16716,69,103,66,599,19542
2020-09-30,266,255,115,1770,172,123,146,1575,8036,690,76,74,1807,770,29,23942,325,502,536,5222,46431
2020-12-31,311,172,89,2094,155,73,87,435,1605,492,79,70,1628,386,46,22338,208,316,215,2504,33303
2021-03-31,200,185,90,1857,148,114,125,918,2502,456,75,99,966,404,47,12495,267,395,105,3808,25256
2021-06-30,162,207,46,1929,97,92,104,394,1969,645,63,97,625,409,56,14631,307,338,125,3061,25357
2021-09-30,196,197,105,1390,81,241,160,131,1588,594,103,208,444,611,56,12299,479,591,63,3159,22696
2021-12-31,763,184,230,2525,237,396,435,2473,4966,1419,225,283,14273,1604,94,20182,977,1352,290,8511,61419
2022-03-31,1616,262,452,3624,406,768,790,3692,6945,1435,485,436,29130,1676,151,23045,1854,2543,965,17778,98053
2022-06-30,25874,6531,5579,35249,6711,10403,10176,68149,263611,14376,5405,8849,1240034,19450,1572,96017,22687,26386,36302,130760,2034121
2022-09-30,48662,80245,9919,69194,16786,25165,21477,115196,528510,30398,14118,18201,1703971,56804,2354,260896,37123,50086,73213,261798,3424116
2022-12-31,76113,214719,14706,104536,24229,18751,25337,137511,682673,37100,11062,8494,2249856,68454,4006,335570,46477,55652,63283,336152,4514681
2023-03-31,76801,201782,19372,178150,51748,24658,34800,110883,704147,47652,13767,6493,1827625,118601,5977,390816,51167,64010,72180,386973,4387602
2023-06-30,72483,205784,14867,320390,67058,24208,25519,173002,746788,42026,13627,10716,2053459,70183,3160,379426,50412,58840,89615,350904,4772467
2023-09-30,89703,167290,16570,539060,94374,40466,31333,188973,777056,76446,25622,20934,2014068,112222,3237,383388,60864,76013,111057,478292,5306968
2023-12-31,104451,236977,21172,436514,70200,25813,34335,198988,880174,63768,15432,13232,2413078,99847,5632,397652,67033,73434,71509,445568,5674809
2024-03-31,96125,285590,25220,758772,90147,37566,50403,213214,852649,73502,17793,10863,2020299,144384,7657,406759,70074,101579,76855,472549,5812000
2024-06-30,82806,280409,17563,690939,87891,34308,32318,324279,933981,59182,15907,16502,2255708,88327,3587,407024,64400,73966,91160,436680,5996937
