,AUSTRALIA,BANGLADESH,BELGIUM,BRUNEI DARUSSALAM,CAMBODIA,CANADA,CHINA,CHINESE TAIPEI,DENMARK,EGYPT,FRANCE,GERMANY,INDIA,INDONESIA,IRAN,IRAQ,IRELAND,ITALY,JAPAN,KAZAKHSTAN,LAOS,MYANMAR,NEPAL,NETHERLANDS,NEW ZEALAND,NORWAY,OTHERS,PAKISTAN,PHILIPPINES,POLAND,RUSSIA,SAUDI ARABIA,SINGAPORE,SOUTH AFRICA,SOUTH KOREA,SPAIN,SRI LANKA,SWEDEN,SWITZERLAND,THAILAND,TURKEY,U.S.A,UAE,UKRAINE,UNITED KINGDOM,VIETNAM
1/31/2015,56537,19181,1553,100687,5805,8341,118980,24053,2714,2197,13920,13603,67327,250100,5822,1956,2343,5058,43446,2305,1467,9276,18249,7887,5838,2051,41925,6776,49211,2034,9498,9631,1125425,2133,55297,2654,3528,5843,2707,103452,1711,22351,912,1187,37298,17334
2/28/2015,27938,17570,1305,94495,5081,7218,136507,26115,2616,1473,13776,12145,48465,183345,4736,1750,1731,3996,36164,1290,1244,6027,11965,6155,3683,1737,28066,6098,41393,1680,5102,4098,991529,1074,36515,2513,3022,4525,2307,94140,1366,18620,541,991,33092,13817
3/31/2015,36562,13954,1829,110717,5870,8470,123778,19268,2838,1948,14501,16231,61404,237766,10720,1369,2149,4590,45729,1649,1625,6904,17021,6988,4679,2201,33139,9927,48199,1855,5198,9936,1124697,2001,29366,2876,4275,3684,2422,113472,1487,22478,1663,1062,40138,23442
4/30/2015,47363,7421,1562,93212,8029,6698,127555,20462,2172,2459,14016,12659,66791,205969,3356,1336,1897,3739,35393,1148,2286,5599,11337,6425,5630,1828,26798,5411,59340,1283,4065,5696,1015092,2085,28773,2572,5391,2813,2723,131824,1479,21661,1586,783,36438,19767
5/31/2015,27674,8980,1325,88433,6265,5901,120474,21482,1355,1790,11347,9894,78157,227933,4003,1065,1563,2798,33462,694,2168,5194,1263,6032,4274,974,22382,3945,55242,982,3494,5260,1135754,1463,29136,1947,4391,1542,1877,111107,1056,18420,436,706,27787,16386
6/30/2015,34353,7983,1285,65868,5678,4966,124089,24683,1411,1455,8817,8409,56510,208773,4076,1097,1793,2849,29804,922,2040,4084,1674,5278,4868,1382,22544,4531,39639,1044,2950,5774,999658,1264,25926,2087,2906,1827,1680,100540,954,18856,346,607,27061,19451
7/31/2015,50940,10847,2445,99532,5922,6401,172800,36760,2901,2144,15785,11046,51488,228684,4816,1651,2272,4197,39967,1587,2495,3860,1530,10854,6076,1869,34771,4920,36547,1689,3661,16613,1096513,1463,37299,3709,3379,1980,3294,106195,1173,21781,2811,685,34531,24166
8/31/2015,36783,9607,1819,90154,6335,6633,189325,31498,1536,2956,18378,13865,53699,205727,4439,2191,2024,9811,52575,1508,2338,3994,4089,8751,4900,1201,43662,5256,39682,1720,3561,13935,1061084,1396,42512,5996,5197,1372,2141,105246,1244,18377,2919,726,35634,24740
9/30/2015,46571,11627,1667,87327,6332,5223,138997,21661,1492,3118,10011,12686,55979,206892,6279,2658,1752,3615,45423,1223,2275,4283,4535,6566,5398,1256,32382,4663,44183,1760,3331,13404,1080906,1723,27014,3437,4703,1713,1940,100195,1670,17759,871,755,29602,17482
10/31/2015,41914,8151,1537,91028,7407,6180,129890,21367,1888,1945,11809,12357,64947,247329,5714,1559,1856,3941,39534,881,2209,3502,2620,6978,5400,1211,28568,4218,45937,2230,4050,5756,1021024,1516,32190,3935,4668,2485,2333,127947,1029,18922,804,1016,32964,17990
11/30/2015,33354,12696,1362,83777,7164,6452,124720,20265,1573,1811,9549,11998,54749,250885,4577,1394,1806,3627,38278,1219,2173,5629,5224,6332,4562,1449,29362,5844,44740,2555,4789,4827,990371,1409,34200,3185,4289,2789,2395,105606,1074,18737,824,1029,32917,17127
12/31/2015,46959,19135,1100,128325,5171,7074,170048,15610,1617,2341,9565,10017,62625,334630,6528,2072,1560,3725,43794,984,2128,8201,13652,6338,5538,1463,34563,7523,50804,1088,5564,4824,1288701,3098,42933,1781,5588,5013,2322,143845,1152,19806,2056,1125,33557,17924
1/31/2016,43492,15594,1123,100183,5471,8892,162340,26218,2718,3589,14491,13004,67529,278505,6397,1760,1999,4492,39232,1959,2069,7347,9727,6751,5357,1604,41913,5509,47095,2231,10733,12517,1135104,2020,61933,2572,3482,6492,2609,128216,1428,22843,977,1737,38566,16346
2/29/2016,26090,13705,1278,97235,5873,7631,181028,29510,2433,2552,12581,12402,49200,229558,6143,1882,1442,3273,34308,1019,2329,3621,8844,5239,3623,1713,31190,3906,36840,3749,4282,4466,997121,1156,47349,2068,3649,4538,2639,132281,1516,18042,521,1302,34174,15797
3/31/2016,28017,6988,900,123867,4788,6794,169575,19769,1455,2232,11601,13137,52193,218080,5424,1359,1289,2196,38412,857,2476,3287,10193,3207,3830,1640,19713,5469,29184,1776,3639,11526,1125822,1622,30563,1558,1837,3127,2439,149245,829,19106,1606,1255,40459,14375
4/30/2016,32207,6682,632,113044,5089,5224,170293,22099,1672,2159,14857,13089,66056,208508,1611,1215,884,2774,33305,800,2088,4129,6632,5526,4049,1519,14951,3308,36406,694,3862,6254,1014016,1366,31218,1530,2905,1691,2081,174646,1204,22679,841,973,38879,15633
5/31/2016,21285,7142,529,104136,5368,5145,156634,20128,726,2051,8476,8335,72698,232381,2190,1263,952,1956,28376,480,2251,3459,1673,3360,3542,516,13998,4003,38669,502,2278,6133,1130075,1151,29293,1404,2239,1150,1802,155678,757,13985,481,864,28694,15911
6/30/2016,28462,5757,572,98904,5236,4760,152593,23342,881,1255,7156,7333,52177,211667,2273,949,1168,1414,25060,407,2519,3761,1777,2859,4200,806,12008,2854,31969,597,1662,2280,1194314,1320,27667,1035,1522,1415,1623,124387,406,17368,263,702,25541,25175
7/31/2016,35410,11333,2221,110140,5617,6300,195467,40877,2928,3556,14898,10004,46648,293253,3802,3056,2302,3813,30137,1216,3246,3385,1684,11723,5621,1785,32921,7629,31247,1635,3126,24263,1059679,1720,34429,3655,1491,2270,3316,152493,1436,19715,3221,777,35140,26030
8/31/2016,27587,7717,1851,110531,5361,5585,218487,34274,1599,2977,16371,12724,44793,248249,3524,2683,2076,10176,40318,1002,3587,3248,2107,10202,4388,942,32144,6141,28396,1672,3410,28952,1075069,1544,42117,5208,1879,1430,2132,150047,1187,15958,2459,946,36889,22234
